id,key,value,type
10389229,name_base,Chelmsford,tiger
10389229,name_type,Ter,tiger
10389448,name,Acadia Lane,regular
10389448,highway,residential,regular
10389448,cfcc,A41,tiger
10389448,county,"Douglas, CO",tiger
10389448,reviewed,no,tiger
10389448,name_base,Acadia,tiger
10389448,name_type,Ln,tiger
11261675,highway,residential,regular
11261675,name,Trail View Place,regular
11261675,source,ground,regular
16959216,name,East 127th Way,regular
16959216,highway,residential,regular
16959216,cfcc,A41,tiger
16959216,tlid,177452854,tiger
16959216,county,"Adams, CO",tiger
16959216,source,tiger_import_dch_v0.6_20070809,tiger
16959216,reviewed,no,tiger
16959216,name_base,127th,tiger
16959216,name_type,Way,tiger
16959216,separated,no,tiger
16959216,name_direction_prefix,E,tiger
16959548,highway,residential,regular
16959548,cfcc,A41,tiger
16959548,tlid,177297895,tiger
16959548,county,"Adams, CO",tiger
16959548,source,tiger_import_dch_v0.6_20070809,tiger
16959548,reviewed,no,tiger
16959548,separated,no,tiger
16959548,upload_uuid,bulk_upload.pl-07671c32-b0c0-423d-8d4c-e8e5618258ca,tiger
16959980,electrified,no,regular
16959980,gauge,1435,regular
16959980,railway,rail,regular
16959980,service,yard,regular
16959980,cfcc,B11,tiger
16959980,county,"Adams, CO",tiger
16959980,reviewed,no,tiger
16959980,usage,industrial,regular
16960405,gauge,1435,regular
16960405,usage,industrial,regular
16960405,railway,rail,regular
16960405,service,yard,regular
16960405,cfcc,B11,tiger
16960405,electrified,no,regular
16960405,county,"Adams, CO",tiger
16960405,reviewed,yes,tiger
16960850,railway,rail,regular
16960850,cfcc,B11,tiger
16960850,tlid,177446052,tiger
16960850,county,"Adams, CO",tiger
16960850,source,tiger_import_dch_v0.6_20070809,tiger
16960850,reviewed,no,tiger
16960850,upload_uuid,bulk_upload.pl-07671c32-b0c0-423d-8d4c-e8e5618258ca,tiger
16961229,highway,residential,regular
16961229,cfcc,A41,tiger
16961229,county,"Adams, CO",tiger
16961229,reviewed,no,tiger
16961705,oneway,yes,regular
16961705,highway,tertiary_link,regular
16961705,cfcc,A41,tiger
16961705,county,"Adams, CO",tiger
16961705,reviewed,no,tiger
16962099,oneway,yes,regular
16962099,bicycle,no,regular
16962099,highway,motorway_link,regular
16962099,cfcc,A63,tiger
16962099,destination,120th Avenue,regular
16962099,county,"Adams, CO",tiger
16962099,ref,CO 128 West,destination
16962445,highway,residential,regular
